target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
CCCP05ugml,3,XGBoost,shap,Clusters_4,5,0.00484493378,4.8,5,4,0.05238055835399999,0.02221223422,0.42405493408230893,STR,Chemical stress
CCCP05ugml,3,XGBoost,shap,Clusters_9,5,0.0030407809199999997,18.8,5,5,0.05238055835399999,0.02525301514,0.4821066428756688,STR,Chemical stress
CCCP05ugml,3,XGBoost,shap,group_5648,5,0.0026584513316,42,5,6,0.05238055835399999,0.0279114664716,0.5328592773480539,PAN,Chemical stress
CCCP05ugml,3,XGBoost,shap,tetA,5,0.001979997768,23.2,5,7,0.05238055835399999,0.029891464239600003,0.5706595190831403,PAN,Chemical stress
CCCP05ugml,3,XGBoost,shap,group_7632,5,0.0014891122552,59.6,5,8,0.05238055835399999,0.0313805764948,0.599088239623617,PAN,Chemical stress
CCCP05ugml,3,XGBoost,shap,Clusters_6,5,0.00144408612,50.6,5,9,0.05238055835399999,0.0328246626148,0.6266573638441061,STR,Chemical stress
CCCP05ugml,3,XGBoost,shap,Clusters_8,5,0.001392136378,27,5,10,0.05238055835399999,0.0342167989928,0.6532347128023134,STR,Chemical stress
CCCP2ugml,3,XGBoost,shap,Clusters_3,5,0.0048393718,3.8,5,1,0.027463894488799993,0.0048393718,0.1762085053878115,STR,Chemical stress
CCCP2ugml,3,XGBoost,shap,Clusters_1,5,0.00360821484,3.2,5,2,0.027463894488799993,0.00844758664,0.30758881059075566,STR,Chemical stress
CCCP2ugml,3,XGBoost,shap,Clusters_2,5,0.001609645448,28.4,5,3,0.027463894488799993,0.010057232087999999,0.3661983223865582,STR,Chemical stress
CCCP2ugml,3,XGBoost,shap,Clusters_5,5,0.001550449138,45.6,5,4,0.027463894488799993,0.011607681225999998,0.4226524111769257,STR,Chemical stress
CCCP2ugml,3,XGBoost,shap,Clusters_7,5,0.0013348526,36.6,5,5,0.027463894488799993,0.012942533825999998,0.4712563191384992,STR,Chemical stress
CCCP2ugml,3,XGBoost,shap,group_2405,5,0.00123212054,31.6,5,6,0.027463894488799993,0.014174654365999998,0.5161196046606041,PAN,Chemical stress
