target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
Aceticacid5mM,3,XGBoost,shap,group_20411,5,0.00710872962,3.6,5,2,0.0633397882221,0.01647582548,0.26011810178821204,PAN,Chemical stress
Aceticacid5mM,3,XGBoost,shap,Clusters_3,5,0.0061263203799999996,7.2,5,3,0.0633397882221,0.02260214586,0.3568396184203509,STR,Chemical stress
Aceticacid5mM,3,XGBoost,shap,group_6437,5,0.0059123697,8.6,5,4,0.0633397882221,0.02851451556,0.4501833106863933,PAN,Chemical stress
Aceticacid5mM,3,XGBoost,shap,X50553...T.A.....GT,5,0.0031880307160000003,40.4,5,5,0.0633397882221,0.031702546276,0.5005155079590021,SNP,Chemical stress
Aceticacid5mM,3,XGBoost,shap,Clusters_6,5,0.00318130452,20,5,6,0.0633397882221,0.034883850795999996,0.5507415129599156,STR,Chemical stress
Aceticacid5mM,3,XGBoost,shap,Clusters_2,5,0.00313094906,18.8,5,7,0.0633397882221,0.038014799855999995,0.6001725127766717,STR,Chemical stress
Aceticacid5mM,3,XGBoost,shap,group_5099,5,0.00302512418,21.4,5,8,0.0633397882221,0.04103992403599999,0.647932763717083,PAN,Chemical stress
Aceticacid5mM,3,XGBoost,shap,group_1868,5,0.0029838725599999998,21.4,5,9,0.0633397882221,0.04402379659599999,0.6950417396665619,PAN,Chemical stress
Aceticacid5mM,3,XGBoost,shap,Clusters_7,5,0.00253903541,33,5,10,0.0633397882221,0.04656283200599999,0.7351276869244989,STR,Chemical stress
Alanine,3,XGBoost,shap,ltrA~~~araC,5,0.00784431986,4.4,5,1,0.07878854765039997,0.00784431986,0.09956167608021874,PAN,Carbon source utilisation
Alanine,3,XGBoost,shap,Clusters_3,5,0.0057849958,15.2,5,2,0.07878854765039997,0.01362931566,0.17298599944342052,STR,Carbon source utilisation
Alanine,3,XGBoost,shap,Clusters_9,5,0.00574866042,25.6,5,3,0.07878854765039997,0.01937797608,0.24594914689865627,STR,Carbon source utilisation
