row	column	strain	r_c
6	33	Q33	6 33
6	34	Q33	6 34
5	35	R1352	5 35
5	36	R1352	5 36
6	35	R1352	6 35
6	36	R1352	6 36
5	37	Q35	5 37
5	38	Q35	5 38
6	37	Q35	6 37
6	38	Q35	6 38
5	39	M1109	5 39
5	40	M1109	5 40
6	39	M1109	6 39
6	40	M1109	6 40
5	41	Q64	5 41
5	42	Q64	5 42
6	41	Q64	6 41
6	42	Q64	6 42
5	43	M851	5 43
5	44	M851	5 44
6	43	M851	6 43
6	44	M851	6 44
5	45	T197	5 45
5	46	T197	5 46
6	45	T197	6 45
6	46	T197	6 46
5	47	M556	5 47
5	48	M556	5 48
6	47	M556	6 47
6	48	M556	6 48
7	1	RKPR120	7 1
7	2	RKPR120	7 2
8	1	RKPR120	8 1
8	2	RKPR120	8 2
7	3	RKPB448	7 3
7	4	RKPB448	7 4
8	3	RKPB448	8 3
8	4	RKPB448	8 4
7	5	MKPU269	7 5
7	6	MKPU269	7 6
8	5	MKPU269	8 5
8	6	MKPU269	8 6
7	7	RKPB450	7 7
7	8	RKPB450	7 8
8	7	RKPB450	8 7
8	8	RKPB450	8 8
7	9	RKPB162	7 9
7	10	RKPB162	7 10
8	9	RKPB162	8 9
8	10	RKPB162	8 10
7	11	RKPB451	7 11
7	12	RKPB451	7 12
8	11	RKPB451	8 11
8	12	RKPB451	8 12
7	13	RKPB163	7 13
7	14	RKPB163	7 14
8	13	RKPB163	8 13
8	14	RKPB163	8 14
7	15	RKPB452	7 15
7	16	RKPB452	7 16
8	15	RKPB452	8 15
8	16	RKPB452	8 16
7	17	RKPB164	7 17
7	18	RKPB164	7 18
8	17	RKPB164	8 17
8	18	RKPB164	8 18
7	19	RKPB430	7 19
7	20	RKPB430	7 20
8	19	RKPB430	8 19
8	20	RKPB430	8 20
7	21	RKPB165	7 21
7	22	RKPB165	7 22
8	21	RKPB165	8 21
8	22	RKPB165	8 22
7	23	RKPB431	7 23
7	24	RKPB431	7 24
8	23	RKPB431	8 23
8	24	RKPB431	8 24
7	25	RKPB166	7 25
7	26	RKPB166	7 26
8	25	RKPB166	8 25
8	26	RKPB166	8 26
7	27	RKPB432	7 27
7	28	RKPB432	7 28
8	27	RKPB432	8 27
8	28	RKPB432	8 28
7	29	RKPB167	7 29
7	30	RKPB167	7 30
8	29	RKPB167	8 29
8	30	RKPB167	8 30
7	31	RKPB434	7 31
7	32	RKPB434	7 32
8	31	RKPB434	8 31
8	32	RKPB434	8 32
7	33	RKPR123	7 33
7	34	RKPR123	7 34
8	33	RKPR123	8 33
8	34	RKPR123	8 34
7	35	RKPB435	7 35
7	36	RKPB435	7 36
8	35	RKPB435	8 35
8	36	RKPB435	8 36
7	37	RKPB149	7 37
7	38	RKPB149	7 38
8	37	RKPB149	8 37
8	38	RKPB149	8 38
7	39	RKPB436	7 39
7	40	RKPB436	7 40
8	39	RKPB436	8 39
8	40	RKPB436	8 40
7	41	RKPB151	7 41
7	42	RKPB151	7 42
8	41	RKPB151	8 41
8	42	RKPB151	8 42
7	43	RKPB437	7 43
7	44	RKPB437	7 44
8	43	RKPB437	8 43
8	44	RKPB437	8 44
7	45	RKPB152	7 45
7	46	RKPB152	7 46
8	45	RKPB152	8 45
8	46	RKPB152	8 46
7	47	RKPB438	7 47
7	48	RKPB438	7 48
8	47	RKPB438	8 47
8	48	RKPB438	8 48
9	1	QF20	9 1
9	2	QF20	9 2
10	1	QF20	10 1
10	2	QF20	10 2
9	3	M538	9 3
9	4	M538	9 4
10	3	M538	10 3
10	4	M538	10 4
9	5	QF22	9 5
9	6	QF22	9 6
10	5	QF22	10 5
10	6	QF22	10 6
9	7	M514	9 7
9	8	M514	9 8
10	7	M514	10 7
10	8	M514	10 8
9	9	QF23	9 9
9	10	QF23	9 10
10	9	QF23	10 9
10	10	QF23	10 10
9	11	M290	9 11
9	12	M290	9 12
10	11	M290	10 11
10	12	M290	10 12
9	13	QF24	9 13
9	14	QF24	9 14
10	13	QF24	10 13
10	14	QF24	10 14
9	15	MKP103	9 15
9	16	MKP103	9 16
10	15	MKP103	10 15
10	16	MKP103	10 16
9	17	QF40	9 17
9	18	QF40	9 18
10	17	QF40	10 17
10	18	QF40	10 18
9	19	M88	9 19
9	20	M88	9 20
10	19	M88	10 19
10	20	M88	10 20
9	21	R1011	9 21
9	22	R1011	9 22
10	21	R1011	10 21
10	22	R1011	10 22
9	23	JZ69	9 23
9	24	JZ69	9 24
10	23	JZ69	10 23
10	24	JZ69	10 24
9	25	R1032	9 25
9	26	R1032	9 26
10	25	R1032	10 25
10	26	R1032	10 26
9	27	JZ36	9 27
9	28	JZ36	9 28
10	27	JZ36	10 27
10	28	JZ36	10 28
9	29	DKPB003	9 29
9	30	DKPB003	9 30
10	29	DKPB003	10 29
10	30	DKPB003	10 30
9	31	JZ20	9 31
9	32	JZ20	9 32
10	31	JZ20	10 31
10	32	JZ20	10 32
9	33	R1072	9 33
9	34	R1072	9 34
10	33	R1072	10 33
10	34	R1072	10 34
9	35	J818	9 35
9	36	J818	9 36
10	35	J818	10 35
10	36	J818	10 36
9	37	R1076	9 37
9	38	R1076	9 38
10	37	R1076	10 37
10	38	R1076	10 38
9	39	J774	9 39
9	40	J774	9 40
10	39	J774	10 39
10	40	J774	10 40
9	41	R119	9 41
9	42	R119	9 42
10	41	R119	10 41
10	42	R119	10 42
9	43	J738	9 43
9	44	J738	9 44
10	43	J738	10 43
