row	column	strain	r_c
5	35	225	5 35
5	36	225	5 36
6	35	225	6 35
6	36	225	6 36
5	37	M616	5 37
5	38	M616	5 38
6	37	M616	6 37
6	38	M616	6 38
5	39	MKP103	5 39
5	40	MKP103	5 40
6	39	MKP103	6 39
6	40	MKP103	6 40
5	41	Q53	5 41
5	42	Q53	5 42
6	41	Q53	6 41
6	42	Q53	6 42
5	43	234	5 43
5	44	234	5 44
6	43	234	6 43
6	44	234	6 44
5	45	M676	5 45
5	46	M676	5 46
6	45	M676	6 45
6	46	M676	6 46
5	47	235	5 47
5	48	235	5 48
6	47	235	6 47
6	48	235	6 48
7	1	JKPB519	7 1
7	2	JKPB519	7 2
8	1	JKPB519	8 1
8	2	JKPB519	8 2
7	3	RKPR078	7 3
7	4	RKPR078	7 4
8	3	RKPR078	8 3
8	4	RKPR078	8 4
7	5	JKPB526	7 5
7	6	JKPB526	7 6
8	5	JKPB526	8 5
8	6	JKPB526	8 6
7	7	RKPR079	7 7
7	8	RKPR079	7 8
8	7	RKPR079	8 7
8	8	RKPR079	8 8
7	9	JKPB529	7 9
7	10	JKPB529	7 10
8	9	JKPB529	8 9
8	10	JKPB529	8 10
7	11	RKPR083	7 11
7	12	RKPR083	7 12
8	11	RKPR083	8 11
8	12	RKPR083	8 12
7	13	JKPB530	7 13
7	14	JKPB530	7 14
8	13	JKPB530	8 13
8	14	JKPB530	8 14
7	15	RKPR088	7 15
7	16	RKPR088	7 16
8	15	RKPR088	8 15
8	16	RKPR088	8 16
7	17	JKPB532	7 17
7	18	JKPB532	7 18
8	17	JKPB532	8 17
8	18	JKPB532	8 18
7	19	RKPR089	7 19
7	20	RKPR089	7 20
8	19	RKPR089	8 19
8	20	RKPR089	8 20
7	21	JKPB533	7 21
7	22	JKPB533	7 22
8	21	JKPB533	8 21
8	22	JKPB533	8 22
7	23	MKPB244	7 23
7	24	MKPB244	7 24
8	23	MKPB244	8 23
8	24	MKPB244	8 24
7	25	JKPB536	7 25
7	26	JKPB536	7 26
8	25	JKPB536	8 25
8	26	JKPB536	8 26
7	27	RKPU001	7 27
7	28	RKPU001	7 28
8	27	RKPU001	8 27
8	28	RKPU001	8 28
7	29	JKPB537	7 29
7	30	JKPB537	7 30
8	29	JKPB537	8 29
8	30	JKPB537	8 30
7	31	RKPU020	7 31
7	32	RKPU020	7 32
