row	column	strain	r_c
1	1	B14	1 1
1	2	B14	1 2
2	1	B14	2 1
2	2	B14	2 2
1	3	N978	1 3
1	4	N978	1 4
2	3	N978	2 3
2	4	N978	2 4
1	5	B26	1 5
1	6	B26	1 6
2	5	B26	2 5
2	6	B26	2 6
1	7	N987	1 7
1	8	N987	1 8
2	7	N987	2 7
2	8	N987	2 8
1	9	B42	1 9
1	10	B42	1 10
2	9	B42	2 9
2	10	B42	2 10
1	11	N990	1 11
1	12	N990	1 12
2	11	N990	2 11
2	12	N990	2 12
1	13	B53	1 13
1	14	B53	1 14
2	13	B53	2 13
2	14	B53	2 14
1	15	S7	1 15
1	16	S7	1 16
2	15	S7	2 15
2	16	S7	2 16
1	17	B54	1 17
1	18	B54	1 18
2	17	B54	2 17
2	18	B54	2 18
1	19	13	1 19
1	20	13	1 20
2	19	13	2 19
2	20	13	2 20
1	21	KP017	1 21
1	22	KP017	1 22
2	21	KP017	2 21
2	22	KP017	2 22
1	23	14	1 23
1	24	14	1 24
2	23	14	2 23
2	24	14	2 24
1	25	MKPU058	1 25
1	26	MKPU058	1 26
2	25	MKPU058	2 25
2	26	MKPU058	2 26
1	27	MKPU285	1 27
1	28	MKPU285	1 28
2	27	MKPU285	2 27
2	28	MKPU285	2 28
1	29	H150	1 29
1	30	H150	1 30
2	29	H150	2 29
2	30	H150	2 30
1	31	MKPU128	1 31
1	32	MKPU128	1 32
2	31	MKPU128	2 31
2	32	MKPU128	2 32
1	33	H152	1 33
1	34	H152	1 34
2	33	H152	2 33
2	34	H152	2 34
1	35	31	1 35
1	36	31	1 36
2	35	31	2 35
2	36	31	2 36
1	37	H159	1 37
1	38	H159	1 38
2	37	H159	2 37
2	38	H159	2 38
1	39	32	1 39
1	40	32	1 40
2	39	32	2 39
2	40	32	2 40
1	41	H225	1 41
1	42	H225	1 42
2	41	H225	2 41
2	42	H225	2 42
1	43	36	1 43
1	44	36	1 44
2	43	36	2 43
2	44	36	2 44
1	45	H246	1 45
1	46	H246	1 46
2	45	H246	2 45
2	46	H246	2 46
1	47	40	1 47
1	48	40	1 48
2	47	40	2 47
2	48	40	2 48
3	1	RKPB096	3 1
3	2	RKPB096	3 2
4	1	RKPB096	4 1
4	2	RKPB096	4 2
3	3	RKPB313	3 3
3	4	RKPB313	3 4
4	3	RKPB313	4 3
4	4	RKPB313	4 4
3	5	RKPB097	3 5
3	6	RKPB097	3 6
4	5	RKPB097	4 5
4	6	RKPB097	4 6
3	7	RKPB314	3 7
3	8	RKPB314	3 8
4	7	RKPB314	4 7
4	8	RKPB314	4 8
3	9	RKPB099	3 9
3	10	RKPB099	3 10
4	9	RKPB099	4 9
4	10	RKPB099	4 10
3	11	RKPB315	3 11
3	12	RKPB315	3 12
4	11	RKPB315	4 11
4	12	RKPB315	4 12
3	13	MKPR014	3 13
3	14	MKPR014	3 14
4	13	MKPR014	4 13
4	14	MKPR014	4 14
3	15	RKPB316	3 15
3	16	RKPB316	3 16
4	15	RKPB316	4 15
4	16	RKPB316	4 16
3	17	RKPB101	3 17
3	18	RKPB101	3 18
