row	column	strain	r_c
1	1	KP088	1 1
1	2	KP088	1 2
2	1	KP088	2 1
2	2	KP088	2 2
1	3	HKPR011	1 3
1	4	HKPR011	1 4
2	3	HKPR011	2 3
2	4	HKPR011	2 4
1	5	KP089	1 5
1	6	KP089	1 6
2	5	KP089	2 5
2	6	KP089	2 6
1	7	377	1 7
1	8	377	1 8
2	7	377	2 7
2	8	377	2 8
1	9	KP091	1 9
1	10	KP091	1 10
2	9	KP091	2 9
2	10	KP091	2 10
1	11	382	1 11
1	12	382	1 12
2	11	382	2 11
2	12	382	2 12
1	13	KP093	1 13
1	14	KP093	1 14
2	13	KP093	2 13
2	14	KP093	2 14
1	15	385	1 15
1	16	385	1 16
2	15	385	2 15
2	16	385	2 16
1	17	KP095	1 17
1	18	KP095	1 18
2	17	KP095	2 17
2	18	KP095	2 18
1	19	387	1 19
1	20	387	1 20
2	19	387	2 19
2	20	387	2 20
1	21	KP097	1 21
1	22	KP097	1 22
2	21	KP097	2 21
2	22	KP097	2 22
1	23	388	1 23
1	24	388	1 24
2	23	388	2 23
2	24	388	2 24
1	25	KP099	1 25
1	26	KP099	1 26
2	25	KP099	2 25
2	26	KP099	2 26
1	27	389	1 27
1	28	389	1 28
2	27	389	2 27
2	28	389	2 28
1	29	KP011	1 29
1	30	KP011	1 30
2	29	KP011	2 29
2	30	KP011	2 30
1	31	397	1 31
1	32	397	1 32
2	31	397	2 31
2	32	397	2 32
1	33	KP021	1 33
1	34	KP021	1 34
2	33	KP021	2 33
2	34	KP021	2 34
1	35	398	1 35
1	36	398	1 36
2	35	398	2 35
2	36	398	2 36
1	37	KP031	1 37
1	38	KP031	1 38
2	37	KP031	2 37
2	38	KP031	2 38
1	39	400	1 39
1	40	400	1 40
2	39	400	2 39
2	40	400	2 40
1	41	KP043	1 41
1	42	KP043	1 42
2	41	KP043	2 41
2	42	KP043	2 42
1	43	402	1 43
1	44	402	1 44
2	43	402	2 43
2	44	402	2 44
1	45	KP078	1 45
1	46	KP078	1 46
2	45	KP078	2 45
2	46	KP078	2 46
1	47	403	1 47
1	48	403	1 48
2	47	403	2 47
2	48	403	2 48
3	1	HKPB305	3 1
3	2	HKPB305	3 2
4	1	HKPB305	4 1
4	2	HKPB305	4 2
3	3	MKP103	3 3
3	4	MKP103	3 4
4	3	MKP103	4 3
4	4	MKP103	4 4
3	5	HKPB306	3 5
3	6	HKPB306	3 6
4	5	HKPB306	4 5
4	6	HKPB306	4 6
3	7	MKPU066	3 7
