Gene,Annotation
trmL,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD;hypothetical protein;Bifunctional uridylyltransferase/uridylyl-removing enzyme
yaeH,DUF3461 domain-containing protein
yidA,sugar-phosphatase
group_11873,PTS mannose transporter subunit IIC;PTS system protein;PTS system mannose-specific EIIC component
ftsX,permease-like cell division protein FtsX
menH~~~menB,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase;14-dihydroxy-2-naphthoyl-CoA synthase
menC,o-succinylbenzoate synthase;O-succinylbenzoate-CoA synthase
hxpB,hexitol phosphatase HxpB
group_11834,DNA repair protein RecN
grpE,nucleotide exchange factor GrpE
cyoD,cytochrome o ubiquinol oxidase subunit IV
yheV,YheV family putative zinc ribbon protein
dusC,tRNA dihydrouridine(16) synthase DusC
rpiA,ribose-5-phosphate isomerase RpiA
bglG,transcriptional antiterminator BglG;BglG family transcription antiterminator
bglF,PTS beta-glucoside transporter subunit IIABC;PTS system transporter
rplQ,50S ribosomal protein L17
iscU,Fe-S cluster assembly scaffold protein IscU NifU family
oppD,ABC-type dipeptide/oligopeptide/nickel transport system ATPase component
cysG,siroheme synthase CysG
cysN,sulfate adenylyltransferase subunit CysN
ysaB,YsaB family lipoprotein;Membrane protein;Outer membrane protein
glyS,Glycine--tRNA ligase beta subunit
ppnP,pyrimidine/purine nucleoside phosphorylase
nadE,ammonia-dependent NAD(+) synthetase
fruA,PTS fructose transporter subunit IIBC;fructose-specific PTS transporter subunit EIIC;PTS system fructose-specific transporter subunit IIB
group_11756,fused PTS fructose transporter subunit IIA/HPr protein
pstA,phosphate ABC transporter permease PstA
pstS,phosphate ABC transporter substrate-binding protein PstS;Phosphate ABC transporter substrate-binding protein
tatE,twin-arginine translocase subunit TatE
yhhY,N-acetyltransferase;GNAT family N-acetyltransferase;hypothetical protein
rpsD,30S ribosomal protein S4
group_11703,NADH-quinone oxidoreductase subunit NuoI
nuoG,NADH-quinone oxidoreductase subunit NuoG
rpoH,RNA polymerase sigma factor RpoH
nhaR~~~lysR,transcriptional activator NhaR;LysR family transcriptional regulator
yhhW~~~yhaK,Quercetin 23-dioxygenase;Pirin-related protein;Qercetin 23-dioxygenase;Redox-sensitive bicupin YhaK pirin superfamily
rpsI,30S ribosomal protein S9
group_11635,maltose/maltodextrin ABC transporter substrate-binding protein MalE
group_11616,Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase;hypothetical protein
ribF,bifunctional riboflavin kinase/FAD synthetase
kbl,glycine C-acetyltransferase
csrD,RNase E specificity factor CsrD;Lipoprotein;hypothetical protein;EAL domain-containing protein
mreC,Cell shape-determining protein MreC;rod shape-determining protein MreC
thiD~~~thiM,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase;Phosphomethylpyrimidine kinase;hydroxyethylthiazole kinase
pgk,phosphoglycerate kinase
murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase;hypothetical protein
murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
prmB,50S ribosomal protein L3 N(5)-glutamine methyltransferase
mepA,penicillin-insensitive murein endopeptidase;Penicillin-insensitive murein endopeptidase
rpsF,30S ribosomal protein S6
ynjD,ABC-type uncharacterized transport system YnjBCD ATPase component;ABC transporter;ATP-binding cassette domain-containing protein
ileS,isoleucine--tRNA ligase
group_11552,signal peptidase II
group_11547,DNA replication/repair protein RecF
dnaA,chromosomal replication initiator protein DnaA
kdpE,two-component system response regulator KdpE;hypothetical protein
gmk,guanylate kinase
spoT,bifunctional GTP diphosphokinase/guanosine-3'5'-bis pyrophosphate 3'-pyrophosphohydrolase
group_11537,peptidoglycan DD-transpeptidase MrdA
rlpA,endolytic peptidoglycan transglycosylase RlpA;hypothetical protein
group_11520,DNA-binding transcriptional regulator FrmR family
group_11518,cytoskeleton protein RodZ;Cytoskeleton protein RodZ;Putative regulatory protein
group_11517,histidine--tRNA ligase
queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA;Queuosine biosynthesis protein
yajC,preprotein translocase subunit YajC
rpoS,RNA polymerase sigma factor RpoS
lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase
galP~~~araJ,galactose/proton symporter;putative arabinose efflux permease AraJ MFS family;Arabinose-proton symporter;Galactose-proton symporter
speA,biosynthetic arginine decarboxylase
topA,type I DNA topoisomerase
ndk,nucleoside-diphosphate kinase
group_11484,succinate--CoA ligase subunit alpha
odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
group_11460,adenylate kinase
rluF,23S rRNA pseudouridine(2604) synthase RluF;Ribosomal large subunit pseudouridine synthase F;hypothetical protein
yjbD,DUF3811 domain-containing protein;YjbD family protein
ybeD,DUF493 domain-containing protein
group_11454,ABC-type uncharacterized transport system YnjBCD periplasmic component;Oligopeptide ABC transporter oligopeptide-binding protein;ABC transporter substrate-binding protein;ABC transporter periplasmic substrate-binding protein YnjB
fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase
exbD,TonB system transport protein ExbD
exbB,tol-pal system-associated acyl-CoA thioesterase
group_11443,Fe-S cluster assembly transcriptional regulator IscR
group_11442,two-component system sensor histidine kinase KdpD;hypothetical protein;DUF4118 domain-containing protein
rbfA,30S ribosome-binding factor RbfA
doxX~~~yphA,Uncharacterized membrane protein YphA DoxX/SURF4 family;Inner membrane protein YphA;DoxX family protein
hmpA,NO-inducible flavohemoprotein
ftsQ,cell division protein FtsQ
group_11392,HTH-type transcriptional regulator MalT;Transcriptional regulator MalT;hypothetical protein;HTH-type transcriptional regulator malT;HTH luxR-type domain-containing protein
lon,endopeptidase La
group_11368,high-affinity branched-chain amino acid ABC transporter permease LivH
group_11365,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG
group_11362,Cupin type-2 domain-containing protein;Uncharacterized conserved protein cupin superfamily
opgB,phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase;Phosphoglycerol transferase I (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)
group_11347,Glycoprotein/receptor;DUF2501 domain-containing protein
rarA,replication-associated recombination protein RarA
group_11339,maltose/maltodextrin ABC transporter ATP-binding protein MalK
yjeT,DUF2065 domain-containing protein;Membrane associated protein;Inner membrane protein YjeT
nsrR,nitric oxide-sensing transcriptional repressor NsrR
nadK,NAD(+) kinase
rpsM,30S ribosomal protein S13
kdpB,potassium-transporting ATPase subunit KdpB
rplO,50S ribosomal protein L15
gntK,gluconokinase
group_11317,aspartate-semialdehyde dehydrogenase
hflD,high frequency lysogenization protein HflD
yiiM,6-hydroxyaminopurine reductase;Protein YiiM
rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
gltS,sodium/glutamate symporter;Sodium/glutamate symport protein;Sodium/glutamate symporter;Sodium/glutamate symport carrier protein (Glutamate permease)
group_11267,AsmA domain-containing protein;hypothetical protein;AsmA family protein
oxyR,DNA-binding transcriptional regulator OxyR
pncB,nicotinate phosphoribosyltransferase;Nicotinate phosphoribosyltransferase
group_11259,alanine racemase;Alanine racemase biosynthetic
group_11258,NADPH:quinone reductase or related Zn-dependent oxidoreductase
group_11247,Lipoprotein;putative secreted protein;Putative secreted protein
nuoM,NADH-quinone oxidoreductase subunit M
rplP,50S ribosomal protein L16
hpaD,34-dihydroxyphenylacetate 23-dioxygenase;hypothetical protein
group_11230,2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-17-dioic acid hydratase (catechol pathway);4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase
group_11222,7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases Maf/HAM1 superfamily
yhdP,AsmA2 domain-containing protein YhdP
iutA~~~cirA,ferric aerobactin receptor IutA;hypothetical protein;Putative TonB-dependent receptor;TonB-dependent receptor plug domain-containing protein;Outer membrane receptor protein Fe transport;Iron-regulated outer membrane proteins;TonB-dependent receptor-like beta-barrel domain-containing protein
ycfJ,Uncharacterized protein YcfJ;Uncharacterized conserved protein YcfJ contains glycine zipper 2TM domain
holC,DNA polymerase III subunit chi
lptF,LPS export ABC transporter permease LptF
group_11198,Flavin prenyltransferase UbiX
cvpA,colicin V production protein
group_11191,DNA replication protein DnaC
group_11190,primosomal protein DnaT
group_11188,Maltose transporter permease;maltose ABC transporter permease MalG;Maltose/maltodextrin ABC transporter
panS,ketopantoate/pantoate/pantothenate transporter PanS
mscL,large-conductance mechanosensitive channel protein MscL
cmk,(d)CMP kinase
hycD,Formate hydrogenlyase subunit HyfC
nuoI,Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase
group_11129,cell division protein FtsL
glnA,glutamate--ammonia ligase
rlmH,Ribosomal RNA large subunit methyltransferase H;23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
infC,translation initiation factor IF-3
group_11099,molecular chaperone DnaJ
group_11098,DNA topoisomerase IA
yeaH,UPF0229 protein Ent638_1670;UPF0229 protein YeaH
ompV~~~mipA,Outer membrane scaffolding protein for murein synthesis MipA/OmpV family;MltA-interacting protein;MltA-interacting protein MipA;MipA/OmpV family protein
selD,selenide water dikinase SelD
folP,dihydropteroate synthase
yrbN,Protein YrbN
argP,DNA-binding transcriptional regulator ArgP
ppx,exopolyphosphatase;Exopolyphosphatase
rpsG,30S ribosomal protein S7
group_11044,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG
mntR,manganese-binding transcriptional regulator MntR
aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
nuoF,NADH-quinone oxidoreductase subunit NuoF
group_10982,Lipoprotein;Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein
carA,carbamoyl phosphate synthase small subunit
rplL,50S ribosomal protein L7/L12
yjjB,threonine/serine exporter;putative succinate transporter subunit YjjB
cysD,sulfate adenylyltransferase subunit CysD
rplK,50S ribosomal protein L11
mltA,murein transglycosylase A
group_10733,agmatinase
group_10573,4-hydroxybenzoate 3-monooxygenase;p-hydroxybenzoate hydroxylase;p-hydroxybenzoate hydroxylase (4-hydroxybenzoate 3-monooxygenase) (Phbh)
fruK,1-phosphofructokinase
group_10514,NADPH-nitrite reductase large subunit;nitrite reductase small subunit NirD
group_10400,Inner membrane protein;DUF4311 domain-containing protein;hypothetical protein
pheM,pheST operon leader peptide PheM
thrL,thr operon leader peptide
mglC,galactose/methyl galactoside ABC transporter permease MglC
group_10269,phosphate ABC transporter permease PstC
group_10264,PTS transporter subunit EIIC;PTS glucose transporter subunit IIBC
gpt,xanthine phosphoribosyltransferase
nuoH,NADH-quinone oxidoreductase subunit NuoH
group_10044,UbiD family decarboxylase;4-hydroxybenzoate decarboxylase subunit C;Hydroxyaromatic non-oxidative decarboxylase protein C;non-oxidative hydroxyarylic acid decarboxylases subunit C
atpF,F0F1 ATP synthase subunit B
argR,transcriptional regulator ArgR
group_9998,67-dimethyl-8-ribityllumazine synthase
rpoA,DNA-directed RNA polymerase subunit alpha
group_9792,gluconate operon transcriptional repressor GntR
rapZ,RNase adapter RapZ;ATPase;Putative ATPase
ilvN,acetolactate synthase small subunit
group_9453,ribose ABC transporter substrate-binding protein RbsB
group_9424,lysine-sensitive aspartokinase 3;Aspartokinase
dcuB~~~dcuA,Anaerobic C4-dicarboxylate transporter;anaerobic C4-dicarboxylate transporter DcuB;C4-dicarboxylate transporter DcuB;Anaerobic C4-dicarboxylate transporter DcuB;anaerobic C4-dicarboxylate transporter family protein
pgi,glucose-6-phosphate isomerase
rplJ,50S ribosomal protein L10
glpT,Major facilitator superfamily (MFS) profile domain-containing protein;G-3-P permease;Glycerol-3-phosphate transporter;glycerol-3-phosphate transporter;MFS transporter
group_9193,L-threonine 3-dehydrogenase
mreB,rod shape-determining protein MreB
nuoC,NADH-quinone oxidoreductase subunit C/D
group_9067,class I fructose-bisphosphate aldolase
crr,PTS glucose transporter subunit IIA
ybjL,aspartate:alanine antiporter
luxS,S-ribosylhomocysteine lyase
rpmD,50S ribosomal protein L30
group_8753,hypothetical protein;NADP-dependent isocitrate dehydrogenase
aroK,shikimate kinase AroK
group_8569,carbon storage regulator CsrA
rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase
gshB,glutathione synthase
yqgF~~~algH,YqgE/AlgH family protein
ruvX,Holliday junction resolvase RuvX
group_8466,hypothetical protein;Histidine kinase;two-component system sensor histidine kinase PmrB
yciW~~~tVP38,Alkylhydroperoxidase family enzyme contains CxxC motif;Carboxymuconolactone decarboxylase-like domain-containing protein;Uncharacterized membrane protein YdjX related to fungal oxalate transporter TVP38/TMEM64 family;hypothetical protein;Carboxymuconolactone decarboxylase family protein;carboxymuconolactone decarboxylase family protein
zraR~~~zraS,sigma-54-dependent response regulator transcription factor ZraR;two-component system sensor histidine kinase ZraS;sigma 54-interacting transcriptional regulator;Two-component system response regulator;hypothetical protein;Response regulator of zinc sigma-54-dependent two-component system;Response regulatory domain-containing protein
pncA~~~yecD,hydrolase;Isochorismatase family protein yecD
aspS,aspartate--tRNA ligase
nudB,dihydroneopterin triphosphate diphosphatase
ruvA,Holliday junction branch migration protein RuvA
yebC,YebC/PmpR family DNA-binding transcriptional regulator
ruvC,crossover junction endodeoxyribonuclease RuvC
rlmJ,23S rRNA A2030 N6-methylase RlmJ
ruvB,Holliday junction branch migration DNA helicase RuvB
raiA,ribosome-associated translation inhibitor RaiA
group_8406,zinc ABC transporter substrate-binding protein ZnuA;High-affinity zinc uptake system protein ZnuA
group_8405,zinc ABC transporter permease subunit ZnuB;ABC transporter membrane spanning protein zinc
gorA,glutathione-disulfide reductase
gstB~~~gstA,Glutathione S-transferase GstB;Glutathione S-transferase;glutathione S-transferase N-terminal domain-containing protein;glutathione binding-like protein;Putative glutathione S-transferase
group_8404,Iron-containing alcohol dehydrogenase;Alcohol dehydrogenase class IV
group_8402,zinc ABC transporter ATP-binding protein ZnuC
mmuP,S-methylmethionine permease;S-methylmethionine transporter
lpxM~~~mepM,lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase;murein DD-endopeptidase MepM;hypothetical protein;lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase LpxM
treF,Neutral trehalase
group_8381,NAD(P)-dependent dehydrogenase short-chain alcohol dehydrogenase family;Oxidoreductase;3-oxoacyl-ACP reductase;Enoyl-(Acyl carrier protein) reductase
group_8370,tryptophan synthase subunit alpha
group_8369,tryptophan synthase subunit beta
trpF,bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF
lysR~~~yhjC,LysR family transcriptional regulator;DNA-binding transcriptional regulator LysR family;LysR family transcriptional regulator YhjC;D-malate degradation protein R
yhjD,inner membrane protein YhjD
pyk,pyruvate kinase
ybhQ~~~aglD2,Inner membrane protein YbhQ;putative membrane flippase AglD2/YbhN UPF0104 family
clsB,cardiolipin synthase ClsB
trpD,bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD;ANTHRANILATE SYNTHASE COMPONENT II
trpE,anthranilate synthase component 1
yccU,Uncharacterized protein YccU;putative CoA-binding protein
yhjE,Inner membrane metabolite transport protein YhjE;Inner membrane metabolite transport protein yhjE
group_8345,AsmA domain-containing protein;Uncharacterized conserved protein AsmA involved in outer membrane biogenesis;AsmA family protein
group_8344,DNA-binding transcriptional regulator MurR/RpiR family contains HTH and SIS domains
zwf,glucose-6-phosphate dehydrogenase
edd,phosphogluconate dehydratase;Phosphogluconate dehydratase
ybhQ,YbhQ family protein;Inner membrane protein
ybhR,putative multidrug ABC transporter permease YbhR;ABC transporter membrane protein
yciV,5'-3' exoribonuclease
yciO,L-threonylcarbamoyladenylate synthase
mgsA,methylglyoxal synthase
helD,DNA helicase IV
yccF,YccF domain-containing protein
yecN~~~yecE,DUF72 domain-containing protein;Uncharacterized membrane protein YecN MAPEG domain;Sugar isomerase-related protein YecE UPF0759/DUF72 family;Protein of uncharacterized function DUF72;hypothetical protein;Inner membrane protein
dctC~~~gltP~~~dctA,C4-dicarboxylate transporter DctC;Na+/H+-dicarboxylate symporter;C4-dicarboxylate transport protein;C4-dicarboxylate transporter DctA;Aerobic C4-dicarboxylate transporter
group_8316,KHG/KDPG aldolase;2-keto-3-deoxy-6-phosphogluconate aldolase
purT,formate-dependent phosphoribosylglycinamide formyltransferase;ATP-grasp domain-containing protein
lexA~~~yebG,LexA family transcriptional regulator;dsDNA-binding SOS-regulon protein YebG induction by DNA damage requires cAMP
fabG~~~yciK,YciK family oxidoreductase;Short chain dehydrogenase;Uncharacterized oxidoreductase yciK
cobO,cob(I)yrinic acid ac-diamide adenosyltransferase
rluB,23S rRNA pseudouridine(2605) synthase RluB
group_8305,Uncharacterized membrane protein YccC
tfoX,Protein sxy;Transcriptional regulator of competence genes TfoX/Sxy family;Competence activator protein Sxy;TfoX/Sxy family protein
mdcA,malonate decarboxylase subunit alpha;Bifunctional putative acetyl-CoA:acetoacetyl-CoA transferase: alpha subunit/beta subunit;hypothetical protein;Acetyl-S-ACP:malonate ACP transferase;Malonate decarboxylase alpha subunit
mdcB,triphosphoribosyl-dephospho-CoA synthase;2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
cobW~~~yejR,CobW C-terminal domain-containing protein;Zinc metallochaperone YeiR/ZagA and related GTPases G3E family;Metal chaperone
group_8291,Lipid A 1-diphosphate synthase;phosphatase PAP2 family protein;Membrane protein;UDP pyrophosphate phosphatase
mepS,bifunctional murein DD-endopeptidase/murein LD-carboxypeptidase
cmoA,carboxy-S-adenosyl-L-methionine synthase CmoA
cmoB,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
group_8288,copper homeostasis protein CutC
ecpC~~~fimD~~~tcfC,putative outer membrane usher protein EcpC;Outer membrane usher protein FimD/PapC;Putative fimbrial outer membrane usher protein;hypothetical protein;TcfC E-set like domain-containing protein;Pilus assembly protein C-terminal domain-containing protein
group_8286,putative fimbrial chaperone EcpB;CFA/I fimbrial auxiliary subunit;Putative fimbrial protein
rstB,two-component system sensor histidine kinase RstB;Sensor protein RstB;histidine kinase
tus,DNA replication terminus site-binding protein
hmsP~~~yhjK,biofilm formation regulator HmsP;Protein yhjK;EAL domain-containing protein
ptrB,oligopeptidase B;Protease 2
group_8275,secretion protein HlyD
cecR,transcriptional regulator CecR;hypothetical protein
amiC,N-acetylmuramoyl-L-alanine amidase AmiC
group_8272,porin OmpA
matP,macrodomain Ter protein MatP
lonB,endopeptidase La;putative ATP-dependent protease;ATP-dependent protease La
group_8263,malonate decarboxylase acyl carrier protein
group_8253,DNA-binding transcriptional regulator LysR family
yejB,Inner membrane ABC transporter permease protein YejB;ABC-type microcin C transport system permease component YejB
yecM,VOC family protein
argS,arginine--tRNA ligase
