Gene,Annotation
tnsD,Transposon Tn7 transposition protein TnsD
group_5402,Tail assembly chaperone;hypothetical protein;Eae-like domain protein;Ead/Ea22-like family protein;Phage protein;DUF892 domain-containing protein
group_12012,YbgA
group_8640,DUF2235 domain-containing protein;hypothetical protein;Lipoprotein
group_6008,Transposase mutator type;Transposase
xis,excisionase Xis
group_1225,Integrase/recombinase includes phage integrase;Tyrosine-type recombinase/integrase;Arm DNA-binding domain-containing protein
ybfA,Uncharacterized protein ybfA
group_10343,hypothetical protein;Secreted protein
ydaY,YdaY;Tail assembly chaperone
group_9341,ORFX
sat2,streptothricin N-acetyltransferase Sat2
group_9983,Tn7-like element transposition protein TnsE;Transposon Tn7 transposition protein TnsE;Transcriptional antiterminator
group_11508,hypothetical protein;Phage protein
group_10382,Truncated GTP-binding protein
group_8712,arsenite efflux transporter membrane subunit ArsB;Na+/H+ antiporter NhaD or related arsenite permease;Arsenical pump membrane protein
group_8525,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
group_3793,hypothetical protein;Putative membrane component of transport system;phage tail tube protein;Ig-like domain-containing protein;Uncharacterized conserved protein YjdB contains Ig-like domain
group_8812,Transposase;hypothetical protein
sul2,sulfonamide-resistant dihydropteroate synthase Sul2
group_6202,Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair;DNA polymerase V subunit UmuC;DUF4113 domain-containing protein;DNA-directed DNA polymerase;hypothetical protein;translesion error-prone DNA polymerase V subunit UmuC;diguanylate cyclase;SOS mutagenesis and repair protein
group_3592,Nitrite transporter
group_11822,5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage sugar degradation)
group_11785,putative flavoprotein CzcO associated with the cation diffusion facilitator CzcD
group_11465,Ectoine hydroxylase-related dioxygenase phytanoyl-CoA dioxygenase (PhyH) family;Phytanoyl-CoA dioxygenase
group_10802,DNA-binding transcriptional regulator LysR family
group_10709,Enamine deaminase RidA house cleaning of reactive enamine intermediates YjgF/YER057c/UK114 family
group_7908,ATP-binding cassette domain-containing protein;Amino acid ABC transporter permease/ATP-binding protein His/Glu/Gln/Arg/opine family;ABC-type polar amino acid transport system ATPase component
group_5475,P pilus assembly protein chaperone PapD
group_1918,ABC-type amino acid transport/signal transduction system periplasmic component/domain
argE,acetylornithine deacetylase
phyH,Ectoine hydroxylase-related dioxygenase phytanoyl-CoA dioxygenase (PhyH) family
group_336,Uncharacterized conserved protein Ntn-hydrolase superfamily
spoIVCA,Mobile element protein;Transposon Tn21 resolvase;Site-specific DNA recombinase SpoIVCA/DNA invertase PinE
group_12193,Fimbrial-type adhesion domain-containing protein;Fimbrial protein staA
group_7164,broad-spectrum mercury transporter MerE
group_2187,Uncharacterized conserved protein YjdB contains Ig-like domain;phage tail tube protein;Ig-like domain-containing protein;hypothetical protein;BIG2 domain-containing protein;Membrane component of transport system
group_7035,Tn3 family transposase;hypothetical protein;Tn3-like element TnAs3 family transposase;DUF4158 domain-containing protein
group_5746,hypothetical protein;host specificity factor TipJ family phage tail protein;Kinase;Putative kinase
group_4999,hypothetical protein
group_3497,DUF4035 domain-containing protein;Phage tail protein
group_2867,Putative phage tail protein;phage tail length tape measure family protein;Tail length tape measure protein;hypothetical protein;Phage tail protein;Phage tail tape measure protein
group_6482,Holin
group_1257,Pyocin immunity protein
group_1564,DUF4055 domain-containing protein;hypothetical protein
group_200,hypothetical protein
group_8669,Tail assembly chaperone;YdaY
group_7223,ead/Ea22-like family protein
group_5528,Lipoprotein;DUF3304 domain-containing protein;Putative lipoprotein;hypothetical protein;T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP
group_5524,Invertase;hypothetical protein;DNA-binding protein;Putative invertase
group_9484,hypothetical protein
clpK,heat shock survival AAA family ATPase ClpK;hypothetical protein;ATP-dependent Clp protease ATP-binding subunit
psiGI~~~psiE,heat resistance protein PsiE-GI;GGDEF domain-containing protein;phosphate-starvation-inducible PsiE family protein
intS~~~fimB,Integrase;Prophage CP4-57 integrase;integrase arm-type DNA-binding domain-containing protein;Prophage integrase IntS;Integrase/recombinase includes phage integrase
hsp20,small heat shock protein sHSP20
group_9052,hypothetical protein;Carboxypeptidase regulatory-like domain-containing protein
group_7091,Peptidase M48 family;Zn-dependent protease with chaperone function
group_3271,HNH endonuclease
group_11846,Site-specific integrase;Site-specific recombinase XerD;Phage integrase
group_11507,DUF6651 domain-containing protein
group_8354,hypothetical protein;IS5 family transposase;transposase;IS5 family IS903B transposase;Transposase;IS5-like element IS903B family transposase
group_7348,P22 coat-protein 5 family protein
group_11786,HipA-like protein
group_10156,Exonuclease SbcC
group_10155,DUF676 domain-containing protein;putative lipase
group_9533,hypothetical protein
group_6819,HTH marR-type domain-containing protein
group_3539,DNA 3'-5' helicase
group_3419,MobC
group_2749,ATP-dependent endonuclease
group_1197,CHAT domain-containing protein
group_1174,hypothetical protein
group_158,Phage-like protein
group_4725,hypothetical protein
group_9871,N-acetylglutamate synthase or related acetyltransferase GNAT family
group_9353,YjeJ-like;YjeJ family protein;hypothetical protein
aph3Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib
icd,NADP-dependent isocitrate dehydrogenase;Isocitrate dehydrogenase;isocitrate dehydrogenase (NADP(+))
yadA,YadA
group_10552,peptidase domain-containing ABC transporter;ABC transporter domain-containing protein;ATP-binding cassette domain-containing protein;ABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domain
group_8739,ISKra4 family ISKpn19 transposase;ISKra4 family transposase
group_3941,hypothetical protein
group_1071,Phospholipase;hypothetical protein
group_727,TraD/TraG TraM recognition site domain-containing protein;Mobilization protein;MFS transporter
group_9791,Type VI protein secretion system component Hcp (secreted cytotoxin)
group_3181,Transcriptional regulator
mrr,Restriction endonuclease;Restriction endonuclease Mrr;restriction endonuclease;Mrr protein;Mrr
group_10135,Antirestriction protein
group_8361,zincin-like metallopeptidase domain-containing protein;DNA primase TraC
group_1670,hypothetical protein
group_1115,Molybdopterin-guanine dinucleotide biosynthesis protein MobC
group_11500,IS200/IS605 family transposase
group_7332,Sea16
aph6Id~~~rapA,aminoglycoside O-phosphotransferase APH(6)-Id;RNA polymerase-associated protein RapA
group_5890,DNA-invertase hin
parB~~~spo0J,ParB family protein;Chromosome segregation protein Spo0J contains ParB-like nuclease domain
group_3621,Phage tail protein;phage tail assembly chaperone
group_2796,hypothetical protein;S-type Pyocin;Pyosin/cloacin translocation domain-containing protein;S-type Pyocin family protein;S-type pyocin domain-containing protein
group_10880,Transposase;Phospholipase D
group_8012,hypothetical protein;Enzyme
group_7803,ssDNA abasic site-binding protein YedK/HMCES SRAP family;hypothetical protein;Abasic site processing protein;Gifsy-2 prophage protein;SOS response-associated peptidase;SOS response-associated peptidase family protein;Putative SOS response-associated peptidase
umuC~~~dinP,DNA polymerase V subunit UmuC;Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair;Protein UmuC
group_11590,DUF4435 domain-containing protein
group_8543,hypothetical protein
putP,Na+/proline symporter;Sodium:solute symporter;Sodium/proline symporter
group_5863,putative neuraminidase (sialidase);Exo-alpha-sialidase;Sialidase domain-containing protein;Expressed protein
group_5222,putative ATP-binding protein involved in virulence
group_2175,DUF1640 domain-containing protein
phnO,hypothetical protein;N-acetyltransferase GNAT superfamily (includes histone acetyltransferase HPA2);GNAT family N-acetyltransferase
tabA,Toxin-antitoxin biofilm protein TabA
group_973,Pyocin immunity protein
group_12180,hypothetical protein
group_5891,Chromosome (Plasmid) partitioning protein ParA
group_5808,hypothetical protein
group_9742,IS5 family transposase
iS5~~~tnp~~~insH21,IS5 family transposase;IS5/IS1182 family transposase;transposase;IS5 family ISKpn26 transposase;hypothetical protein
group_5209,IS1 family transposase ORF A;IS1 family IS1X4 transposase ORF A;IS1 family IS1A transposase ORF A;IS1 family IS1X3 transposase ORF A;IS1 family transposase;IS1 family ISKpn14 transposase ORF A
group_7672,hypothetical protein;Periplasmic endochitinase;transposase;IS1 family transposase;IS110 family ISEc21 transposase;IS110-like element ISEc21 family transposase;Transposase IS116/IS110/IS902 family;IS110 family transposase
group_6291,EcsC family protein
group_6079,DUF2971 domain-containing protein
group_5337,Hydrophobic protein
group_5289,DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA
arsA,arsenical pump-driving ATPase;hypothetical protein;Arsenite-transporting ATPase;Arsenical pump-driving ATPase;arsenite efflux transporter ATPase subunit ArsA
group_7513,TonB C-terminal domain-containing protein
group_7385,Methyl-accepting chemotaxis protein;Aerotaxis sensor receptor protein;Aerotaxis receptor
group_5065,Invertase
group_10500,DUF6392 domain-containing protein
group_9101,NB-ARC domain-containing protein;hypothetical protein
group_8997,DUF6392 domain-containing protein
group_7289,glutaredoxin-dependent arsenate reductase
qnrS1,quinolone resistance pentapeptide repeat protein QnrS1
group_20566,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase;Zn-dependent alcohol/formaldehyde dehydrogenase;hypothetical protein;Alcohol dehydrogenase
group_12397,phage/plasmid replication protein II/X family
group_8624,Phosphoadenosine phosphosulphate reductase domain-containing protein
group_2866,Putative phage tail protein;DUF2560 domain-containing protein;phage tail length tape measure family protein;Chromosome partition protein Smc;Prophage tail length tape measure;hypothetical protein;Prophage tail length tape measure protein
group_2483,Ead/Ea22-like family protein
group_963,Phage protein;Phage head morphogenesis domain-containing protein;hypothetical protein
group_7335,SMODS and SLOG-associating 2TM effector domain-containing protein
mphA,hypothetical protein;Mph(A) family macrolide 2'-phosphotransferase
tetD,hypothetical protein;tetracycline efflux MFS transporter Tet(D)
group_11739,Phage protein;head scaffolding protein
group_11737,Protein singed
group_11333,DUF4055 domain-containing protein;hypothetical protein
group_8655,hypothetical protein
group_1867,major head protein;Phage protein
merR,mercury resistance transcriptional regulator MerR
group_7855,hypothetical protein;Putative transposase;HTH-like domain-containing protein;Putative integrase core domain;integrase core domain-containing protein;IS3 family transposase
csa3~~~tnp,ISNCY family transposase;Integrase catalytic domain-containing protein;hypothetical protein;Putative transposase;Transposase;helix-turn-helix domain-containing protein;ISNCY family ISKpn21 transposase
group_12394,replication initiation protein;RepA
group_9120,hypothetical protein
group_10430,Acetamidase/formamidase
group_8631,incFII family plasmid replication initiator RepA;DNA replication;Replication initiation protein;plasmid replication initiator RepA
group_8625,phage minor tail protein L;Tail tip protein L;Gp18
group_8357,Transposase;IS3 family IS1400 transposase ORF A;IS3 family transposase ORF A
group_7552,Hemin-binding lipoprotein;ABC-type transport system periplasmic component
group_2056,nickel import ATP-binding protein NikD
group_10805,S-type Pyocin;S-type pyocin domain-containing protein;Pyosin/cloacin translocation domain-containing protein
group_9664,hypothetical protein
group_5128,Integrase;DUF4102 domain-containing protein
group_2772,hypothetical protein
tagK~~~pfkB,Tagatose-1-phosphate kinase TagK;hypothetical protein;1-phosphofructokinase
group_11869,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family
group_11843,Fic family protein;Filamentation induced by cAMP protein Fic
group_11704,tagatose bisphosphate family class II aldolase
fruB,fused PTS fructose transporter subunit IIA/HPr protein
sgcC,Galactitol-specific PTS system EIIC component;hypothetical protein;Phosphotransferase system galactitol-specific IIC component
group_8599,TMhelix containing protein
group_7372,DeoR/GlpR family DNA-binding transcription regulator;DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family
gatD,hypothetical protein;galactitol-1-phosphate 5-dehydrogenase
gatB,PTS galactitol transporter subunit IIB
gatZ,tagatose-bisphosphate aldolase subunit GatZ
rbsK,Sugar or nucleoside kinase ribokinase family
group_562,PTS galactitol transporter subunit IIA
group_11868,DUF4225 domain-containing protein;hypothetical protein
group_6614,DUF3330 domain-containing protein
frwB,Phosphotransferase system fructose-specific component IIB
vbhA~~~mobC,antitoxin VbhA family protein;MobC
group_12393,Mobilization protein C
mobD~~~mbeD,MobD;MbeD family mobilization/exclusion protein
group_11792,ABC-type dipeptide/oligopeptide/nickel transport system permease component
group_10741,ABC-type dipeptide/oligopeptide/nickel transport system permease component
group_7560,ABC-type branched-chain amino acid transport system periplasmic component
amiR,Two-component response regulator AmiR/NasT family consists of REC and RNA-binding antiterminator (ANTAR) domains
group_12395,MobB
hcp~~~tssD,Type VI protein secretion system component Hcp (secreted cytotoxin);type VI secretion system tube protein TssD;Hemolysin-coregulated protein (Uncharacterized)
dksA,RNA polymerase-binding protein DksA;Coproporphyrinogen III oxidase
group_3007,hypothetical protein
group_7000,Cupin domain-containing protein;Integrase
group_6314,Prophage protein
group_756,hypothetical protein
group_3930,Prophage protein;Phage protein;hypothetical protein
group_3520,type-F conjugative transfer system protein TrbI
group_1868,hypothetical protein;Heme-binding protein
group_11343,type IV conjugative transfer system pilin TraA
group_5955,Transposase;IS1 transposase;IS1 family transposase ORF B;Transposase and inactivated derivatives IS1 family;IS1 family transposase
group_9604,Transposase;helix-turn-helix domain-containing protein;Transposase protein
group_5651,Lipoprotein;Putative lipoprotein;DUF3304 domain-containing protein;T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP;hypothetical protein
group_5257,Protein involved in initiation of plasmid replication;replication initiation protein
tnp,IS3 family transposase ORF B
group_3343,DUF1795 domain-containing protein
group_5269,YdeA protein
group_1387,hypothetical protein;FRG domain-containing protein
group_7327,DUF2913 domain-containing protein
group_10580,Type VI protein secretion system component Hcp (secreted cytotoxin)
group_9586,hypothetical protein;DUF4225 domain-containing protein
group_6129,hypothetical protein;Phage protein
group_2348,Glucosyl transferase GtrII family protein
group_2002,GtrA-like protein;GtrA family protein
group_1209,hypothetical protein
group_446,glycosyltransferase
group_400,glycosyltransferase family 2 protein;Glycosyltransferase;glycosyltransferase
group_5256,Transposase;IS5 family transposase
group_5700,Cytoplasmic protein
group_6173,Phage tail protein;phage tail protein;Tail fiber protein;hypothetical protein
group_6067,DNA modification methylase;DNA methyltransferase
group_418,As(III)-sensing metalloregulatory transcriptional repressor ArsR
group_5858,arsenite efflux transporter metallochaperone ArsD
group_5191,YaeB protein;hypothetical protein
group_5208,Holin;hypothetical protein
group_8673,T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP;hypothetical protein;DUF3304 domain-containing protein;Lipoprotein
group_7108,Cytoplasmic protein
mnaT,Putative acetyltransferase;N-acetyltransferase domain-containing protein;N-acetyltransferase;L-amino acid N-acyltransferase MnaT
group_9934,Arsenical pump-driving ATPase;Anion-transporting ATPase-like domain-containing protein;arsenical pump-driving ATPase;ArsA
fimB~~~intS,hypothetical protein;Integrase;Integrase/recombinase includes phage integrase;integrase arm-type DNA-binding domain-containing protein;Tyrosine-type recombinase/integrase;Prophage integrase IntS;DUF4102 domain-containing protein
group_6631,hypothetical protein
group_2068,Adenine-specific methyltransferase;DUF1380 domain-containing protein
group_8690,Prophage protein;Cytoplasmic protein
group_1272,Mediator of plasmid stability;Plasmid stability protein
group_8617,Alkanesulfonate ABC transporter permease;virion structural protein;Membrane protein;hypothetical protein
tnp~~~insB,IS1 family transposase ORF B;IS1 family transposase;Transposase and inactivated derivatives IS1 family
tnp~~~insI1,IS3 family ISLad1 transposase ORF A;IS3 family ISEc52 transposase ORF A;IS3 family transposase ORF A;IS30 family transposase;Transposase IS3/IS911 family protein
group_7202,IS3 family transposase;IS3 element transposase;Integrase catalytic domain-containing protein;Transposase;IS3 family transposase ORF B
group_6259,DUF2560 domain-containing protein;hypothetical protein
group_10583,Mediator of plasmid stability;Plasmid segregation protein ParM/StbA domain-containing protein
group_5082,Transposase
group_2155,DUF1778 domain-containing protein
group_550,putative N-acetyltransferase YhbS
group_7485,DNA-binding protein
group_8489,RNA polymerase ECF-type sigma factor;DNA-directed RNA polymerase specialized sigma subunit sigma24 family
group_7241,Transposase;hypothetical protein;ISL3 family transposase;ISL3 family transposase ISEc38
arsH,arsenical resistance protein ArsH
group_1032,Transcriptional regulator ArsR family
group_166,Arsenic resistance operon repressor
glpF,Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family);Porin
group_4269,hypothetical protein;phage tail protein I;Tail protein I
group_1351,hypothetical protein
group_9941,Arsenite-activated ATPase ArsA family
group_8934,Phage gp6-like head-tail connector protein
group_5237,hypothetical protein
group_10847,Hemolysin expression modulator Hha
ylcG,YlcG family protein
group_6515,Prophage protein;hypothetical protein
group_2942,Carbonic anhydrase
mobI,MobI protein;DUF1845 domain-containing protein;hypothetical protein;Plasmid transfer protein
group_8560,phage terminase small subunit P27 family;Terminase
group_7889,Terminase large subunit;Phage terminase-like protein large subunit contains N-terminal HTH domain;Putative phage terminase large subunit
group_4363,nitrite transporter;Nitrite transporter
group_8618,IS3 family transposase ORF A;IS3 family transposase;IS3 family IS1230B transposase ORF A;Transposase
dinP~~~umuC,Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair;DNA polymerase V subunit UmuC;DUF4113 domain-containing protein;Error-prone lesion bypass DNA polymerase V (UmuC)
group_2793,Secreted protein
group_28,ISL3 family transposase
group_8741,IS630 family transposase;Transposase;IS630 family ISEc33 transposase;Tc1-like transposase DDE domain-containing protein
group_3249,head-tail connector protein;phage gp6-like head-tail connector protein
group_11449,hypothetical protein;L-proline glycine betaine binding ABC transporter protein ProX
group_9759,Phage tail protein;phage tail protein;Phage tail tube protein family
group_6508,hypothetical protein
group_3125,hypothetical protein;Thermonuclease family protein;Ovule protein;TNase-like domain-containing protein
group_2499,hypothetical protein;DUF3142 domain-containing protein
group_719,hypothetical protein;Tetratricopeptide repeat protein
group_8677,Exonuclease;YqaJ viral recombinase domain-containing protein;YqaJ viral recombinase family protein
group_650,phage head closure protein;Head-tail adaptor protein
group_479,DUF3168 domain-containing protein;hypothetical protein
group_4974,Phage tail assembly
group_11457,Phage tape measure protein;phage tail tape measure protein;hypothetical protein;Phage tail tape measure protein domain-containing protein;Tail length tape measure protein
group_8607,hypothetical protein;DUF4158 domain-containing protein;Tn3 family transposase;Tn3-like element IS3000 family transposase;Tn3 transposase DDE domain-containing protein
group_1088,HK97-gp10 family putative phage morphogenesis protein;hypothetical protein;Phage tail protein
group_1692,Minor tail family protein
cas3,HD Cas3-type domain-containing protein;CRISPR-associated helicase Cas3 protein;CRISPR-associated helicase Cas3;HD domain-containing protein;CRISPR-associated endonuclease Cas3''
group_8686,Antirestriction protein;Antirestriction protein klcA;antirestriction protein;hypothetical protein
group_12087,Type VI secretion protein;hypothetical protein;DUF304 domain-containing protein
group_8652,Phage tail assembly chaperone TAC;Phage tail protein
group_8590,Serine peptidase;S49 family peptidase
group_4634,Site-specific DNA recombinase SpoIVCA/DNA invertase PinE
group_6220,Plasmid SOS inhibition protein A;Plasmid SOS inhibition protein PsiA;plasmid SOS inhibition protein A
group_4528,Terminase
group_3773,Gp19;C40 family peptidase;peptidase P60;NlpC/P60 family protein;NlpC/P60 domain-containing protein;hypothetical protein
cas1e,type I-E CRISPR-associated endonuclease Cas1e
cas2e,type I-E CRISPR-associated endoribonuclease Cas2e
group_8730,Integrase catalytic region;IS3 family transposase ORF B;Integrase catalytic domain-containing protein;Integrase catalytic subunit;Putative transposase;IS3 family transposase;Insertion element IS600 uncharacterized protein ISO-S3 protein;hypothetical protein;HTH-like domain-containing protein
group_8688,Phage tail protein
group_6194,DMP family protein
lysM,Peptidase M23;Transglycosylase;M23 family metallopeptidase;LysM domain-containing protein
group_12148,Phosphoserine phosphatase;hypothetical protein
group_5718,Lipoprotein;Rz-like spanin;hypothetical protein
ardA,Anti-restriction protein;Antirestriction protein ArdA;antirestriction protein ArdA
group_12086,WG repeat-containing protein
group_11254,type I-E CRISPR-associated protein Cse2/CasB
group_2194,type I-E CRISPR-associated protein Cas5/CasD;CRISPR-associated protein;hypothetical protein
group_1933,Phage protein;hypothetical protein
cas6e,type I-E CRISPR-associated protein Cas6/Cse3/CasE
casA,type I-E CRISPR-associated protein Cse1/CasA;Type I-E CRISPR-associated protein Cse1/CasA
cas7e,type I-E CRISPR-associated protein Cas7/Cse4/CasC
group_9631,Initiator replication protein RepB
ridA,Enamine deaminase RidA house cleaning of reactive enamine intermediates YjgF/YER057c/UK114 family;Translation initiation inhibitor
group_2346,Glutamate 5-kinase
group_306,Lipoprotein
traJ~~~trbJ,hypothetical protein;TraJ protein;Conjugal transfer protein TrbJ
group_8705,DUF3168 domain-containing protein
group_9322,Plasmid transfer protein;Ovule protein
group_8634,Gifsy-1 prophage cI
bet~~~recT,hypothetical protein;phage recombination protein Bet;recombinase RecT
group_3934,hypothetical protein;50S ribosomal protein L33
group_8738,host cell division inhibitor Icd-like protein;Putative phage-encoded protein;Phage immunity repressor protein;Host cell division inhibitor Icd-like protein;Ash-like/host cell division inhibitor Icd-like protein;Ash family protein
yhbS,Truncated Orf5;N-acetyltransferase domain-containing protein;hypothetical protein;putative N-acetyltransferase YhbS;Uncharacterized protein in sul1 3'region;Puromycin N-acetyltransferase-like protein;GNAT family N-acetyltransferase
group_8650,Inner membrane protein
group_7757,PRTRC system ParB family protein;ParB/Spo0J HTH domain-containing protein;ParB/RepB/Spo0J family partition protein
group_3624,HK97-gp10 family putative phage morphogenesis protein
group_9363,Transposase
group_7880,Fibronectin type-III domain-containing protein;hypothetical protein;Gp24;DUF1983 domain-containing protein;interleukin-like EMT inducer domain-containing protein;phage tail protein;Phage tail fiber protein;Phage tail protein;carbohydrate binding domain-containing protein;tail protein;Carbohydrate binding domain-containing protein
group_6885,hypothetical protein
group_11821,Fimbrial protein
group_11149,DUF6685 domain-containing protein
group_10551,GIY-YIG nuclease family protein
group_7823,Helix-turn-helix transcriptional regulator
group_9111,hypothetical protein;Lipoprotein
group_8671,Phage protein
group_8548,Phage tail protein
group_8523,Phage protein;Clp protease ClpB;DUF5375 domain-containing protein;P4 prophage-derived uncharacterized protein t2655;p4 phage protein
group_7575,ISL3 family transposase;Transposase and inactivated derivatives;ISL3 family ISCfr12 transposase
group_3518,P2-like prophage tail protein X;Phage tail protein X
group_3135,phage head closure protein
group_10716,hypothetical protein
group_10621,Fimbrial protein
group_9837,Fimbrial protein
group_8589,hypothetical protein;ABC-type Fe3+-siderophore transport system permease component
group_8486,Prophage protein
group_8157,hypothetical protein;Inner membrane protein
group_7905,Type 1 fimbrial protein
group_5463,Molecular chaperone
group_9838,Fimbrial protein SteB;fimbria/pilus outer membrane usher protein
group_7594,MT-A70 family protein;N6-adenosine-specific RNA methylase IME4;MT-A70 family methyltransferase;hypothetical protein
group_5464,Fimbria A protein
group_897,hypothetical protein;tetratricopeptide repeat protein;Tetratricopeptide repeat protein
group_168,hypothetical protein;OmpR/PhoB-type domain-containing protein
group_8703,Prophage regulatory protein;DNA-binding transcriptional regulator AlpA;AlpA family transcriptional regulator
group_7556,DNA-invertase hin;Recombinase family protein;hypothetical protein;recombinase family protein;Site-specific DNA recombinase SpoIVCA/DNA invertase PinE;DNA-invertase;helix-turn-helix domain-containing protein;Hin recombinase;Helix-turn-helix domain-containing protein;Resolvase HTH domain-containing protein
group_7261,Site-specific DNA recombinase SpoIVCA/DNA invertase PinE;recombinase family protein;Resolvase/invertase-type recombinase catalytic domain-containing protein;DNA-invertase
rdgC,Recombination-associated protein RdgC;recombination-associated protein RdgC
group_9438,Chromate transport protein ChrA;ChrA
group_8592,transposase;Transposase
group_3580,Lysozyme;Phage-related lysozyme (muramidase) GH24 family;glycoside hydrolase family protein
group_2802,TipAS antibiotic-recognition domain-containing protein;Phage protein
group_7398,Leucyl-tRNA synthetase
group_1675,Helix-turn-helix transcriptional regulator
group_8622,Lysozyme;lysozyme;Phage-related lysozyme (muramidase) GH24 family
group_8641,Holin;hypothetical protein;Phage-related lysozyme (muramidase) GH24 family
group_8558,IS1 family transposase;Transposase and inactivated derivatives IS1 family;IS1 family transposase ORF B;IS1 family transposase IS1X2
group_7683,hypothetical protein
group_8544,Ferric uptake regulation protein
group_7684,hypothetical protein
group_6280,YihA;hypothetical protein;DUF2726 domain-containing protein
group_4094,Threonine dehydrogenase or related Zn-dependent dehydrogenase
group_3745,Mannitol-1-phosphate/altronate dehydrogenases;Altronate oxidoreductase
group_3578,Secretory protein
group_2144,Sugar phosphate permease;Transporter
group_1486,DNA-binding transcriptional regulator GntR family
group_8245,hypothetical protein
areA,AreA
group_8718,Bacteriophage P4 DNA primase;hypothetical protein;Putative P4-specific DNA primase;Uncharacterized domain associated with phage/plasmid primase;DNA primase;primase-like DNA-binding domain-containing protein;SF3 helicase domain-containing protein;DNA primase phage- or plasmid-associated;winged helix-turn-helix domain-containing protein;Zinc binding domain / DNA primase;Bacteriophage/plasmid primase P4 C-terminal domain-containing protein;DNA primase/nucleoside triphosphatase C-terminal domain-containing protein
group_8643,ArsR family transcriptional regulator;DUF1833 domain-containing protein
group_7014,ISNCY family ISLad2 transposase;ISNCY family transposase;helix-turn-helix domain-containing protein;Helix-turn-helix domain-containing protein;hypothetical protein;Transposase
group_2783,Phage protein
group_10254,hypothetical protein;Tellurite resistance protein TerB;TerB N-terminal domain-containing protein
group_474,ATP-binding protein
group_8682,plasmid replication initiator RepA;hypothetical protein
group_2550,Immunity protein
group_2373,Lhr-like helicase;Lhr-like helicases
group_1946,hypothetical protein
group_9919,retron Eco8 family effector endonuclease
group_9796,Restriction endonuclease Mrr
group_9417,Threonine transporter
group_9097,ABC-three component systems C-terminal domain-containing protein;hypothetical protein
group_5772,DUF4917 domain-containing protein
group_5589,RNA-directed DNA polymerase;reverse transcriptase domain-containing protein
group_3939,DNA polymerase III subunit theta;hypothetical protein;DNA polymerase III theta subunit;Secreted protein
recN,DNA repair protein RecN
tipJ,host specificity factor TipJ family phage tail protein;hypothetical protein;Tip attachment protein J domain-containing protein
group_2069,hypothetical protein
tnp~~~orfB,HTH-like domain-containing protein;Integrase catalytic domain-containing protein;integrase core domain-containing protein;ORF2 ISSen4;IS3 family transposase ORF B;IS3 family transposase orfB;IS3 family ISKpn34 transposase ORF B;IS3 family ISKpn34 transposase
group_2828,ISNCY family transposase ISKpn21
stbA,plasmid stabilization protein StbA
group_11262,hypothetical protein;Fimbrial protein
group_10890,Regulatory protein LysR:LysR substrate binding domain
group_10422,fimbrial outer membrane usher protein;Putative fimbriae usher
group_10276,type-F conjugative transfer system protein TraW;Conjugal transfer protein TraW;IncF plasmid conjugative transfer pilus assembly protein TraW
group_10128,Outer membrane usher protein FimD/PapC;Putative fimbrial usher;fimbrial biogenesis outer membrane usher protein
group_8697,RelE/StbE replicon stabilization toxin;hypothetical protein;DUF6404 domain-containing protein
group_8656,YdeA;YdeA protein;hypothetical protein
group_8420,fimbrial usher protein StbD;Fimbrial usher protein StbD;Putative fimbriae usher
group_5510,P pilus assembly protein chaperone PapD;molecular chaperone;Putative fimbrial chaperone
vagC,VagC;Virulence-associated protein VagC (function unknown)
group_1389,fimbrial assembly chaperone
group_755,hypothetical protein
group_8834,Pilin (type 1 fimbrial protein)
insE~~~tnp,Integrase catalytic domain-containing protein;IS3 family transposase;Integrase catalytic subunit;IS3 family transposase ORF B
group_7321,IS66 family transposase;IS66 family ISKox1 transposase;Transposase;transposase;hypothetical protein
group_6313,hypothetical protein;Prophage protein
group_9647,hypothetical protein;Ferrous iron transport protein B
group_5706,glycoside hydrolase family 19 protein;Chitinase GH19 family;Endolysin;Lytic enzyme
group_5471,P pilus assembly protein chaperone PapD
rAYT,REP element-mobilizing transposase RayT
group_164,Endoribonuclease L-PSP
group_9994,Redox-sensing c-di-GMP phosphodiesterase contains CSS-motif and EAL domains
group_9416,DNA-binding winged helix-turn-helix (wHTH) domain;Transcriptional regulator
group_8840,hypothetical protein;Inner membrane protein
group_8070,Lactoylglutathione lyase-related enzyme vicinal oxygen chelate (VOC) family;Lactoylglutathione lyase related lyase
group_7885,Pilin (type 1 fimbrial protein)
group_7642,Gifsy-1 prophage protein
group_7040,hypothetical protein
group_4660,Bacterial toxin YdaT domain-containing protein;toxin YdaT family protein;DUF1019 domain-containing protein;Transposase
